chain,address,arkm_url,label
polygon,0xe7804c37c13166fF0b37F5aE0BB07A3aEbb6e245,https://intel.arkm.com/0xe7804c37c13166fF0b37F5aE0BB07A3aEbb6e245,Hot Wallet
polygon,0x082489A616aB4D46d1947eE3F912e080815b08DA,https://intel.arkm.com/0x082489A616aB4D46d1947eE3F912e080815b08DA,Hot Wallet
dogecoin,DJfU2p6woQ9GiBdiXsWZWJnJ9uDdZfSSNC,https://intel.arkm.com/DJfU2p6woQ9GiBdiXsWZWJnJ9uDdZfSSNC,Hot Wallet
base,0x3304E22DDaa22bCdC5fCa2269b418046aE7b566A,https://intel.arkm.com/0x3304E22DDaa22bCdC5fCa2269b418046aE7b566A,Hot Wallet
sonic,0xA4E471dbfe8C95d4c44f520b19CEe436c01c3267,https://intel.arkm.com/0xA4E471dbfe8C95d4c44f520b19CEe436c01c3267,Hot Wallet
optimism,0xacD03D601e5bB1B275Bb94076fF46ED9D753435A,https://intel.arkm.com/0xacD03D601e5bB1B275Bb94076fF46ED9D753435A,Hot Wallet
mantle,0x141FeF8cd8397a390AFe94846c8bD6F4ab981c48,https://intel.arkm.com/0x141FeF8cd8397a390AFe94846c8bD6F4ab981c48,Hot Wallet
avalanche,0xCddc5d0Ebeb71a08ffF26909AA6c0d4e256b4fE1,https://intel.arkm.com/0xCddc5d0Ebeb71a08ffF26909AA6c0d4e256b4fE1,Hot Wallet
avalanche,0x3BCE63C6C9ABf7A47f52c9A3a7950867700B0158,https://intel.arkm.com/0x3BCE63C6C9ABf7A47f52c9A3a7950867700B0158,Hot Wallet
avalanche,0xABa2D404C5C41da5964453A368aFF2604Ae80A14,https://intel.arkm.com/0xABa2D404C5C41da5964453A368aFF2604Ae80A14,Hot Wallet
avalanche,0x978B21a854dbEFcD6d51DFd269875d158046240b,https://intel.arkm.com/0x978B21a854dbEFcD6d51DFd269875d158046240b,Hot Wallet
avalanche,0x9f8c163cBA728e99993ABe7495F06c0A3c8Ac8b9,https://intel.arkm.com/0x9f8c163cBA728e99993ABe7495F06c0A3c8Ac8b9,Hot Wallet
avalanche,0x6D8bE5cdf0d7DEE1f04E25FD70B001AE3B907824,https://intel.arkm.com/0x6D8bE5cdf0d7DEE1f04E25FD70B001AE3B907824,Hot Wallet
linea,0x141FeF8cd8397a390AFe94846c8bD6F4ab981c48,https://intel.arkm.com/0x141FeF8cd8397a390AFe94846c8bD6F4ab981c48,Hot Wallet
blast,0x141FeF8cd8397a390AFe94846c8bD6F4ab981c48,https://intel.arkm.com/0x141FeF8cd8397a390AFe94846c8bD6F4ab981c48,Hot Wallet
manta,0x3CDfB47b0E910d9190eD788726cD72489bf10499,https://intel.arkm.com/0x3CDfB47b0E910d9190eD788726cD72489bf10499,Hot Wallet
